Item,2013,2014,2015,2016,2017,2018
Total_average_annual_expenditures,51100,53495,55978,57311,60060,61224
Total_food,6602,6759,7023,7203,7729,7923
Food_at_home,3977,3971,4015,4049,4363,4464
Cereals_and_bakery_products,544,519,518,524,564,569
Cereals_and_cereal_products,185,176,172,172,176,178
Bakery_products,359,343,346,353,388,392
Total_meats_poultry_fish_and_eggs,856,892,896,890,944,961
Beef,219,232,245,244,253,253
Pork,170,177,165,169,181,180
Other_meats,119,123,124,120,128,129
Poultry,170,172,172,172,186,180
Fish_and_seafood,122,129,126,130,140,154
Eggs,56,58,63,56,55,64
Dairy_products,414,423,413,410,450,449
Fresh_milk_and_cream,152,147,140,139,147,147
Other_dairy_products,262,276,273,271,303,303
Fruits_and_vegetables,751,756,769,783,837,858
Fresh_fruits,270,274,284,288,314,318
Fresh_vegetables,236,240,247,254,274,283
Processed_fruits,115,109,108,109,112,114
Processed_vegetables,130,133,130,133,136,144
Other_food_at_home,1412,1382,1419,1442,1568,1627
Sugar_and_other_sweets,143,139,155,148,150,151
Fats_and_oils,117,115,111,111,117,118
Miscellaneous_foods,728,702,726,734,824,865
Nonalcoholic_beverages,384,375,374,393,423,438
Food_prepared_by_consumer_unit_on_out_of_town_trips,42,51,52,55,56,56
Food_away_from_home,2625,2787,3008,3154,3365,3459
Alcoholic_beverages,445,463,515,484,558,583
Housing,17148,17798,18409,18886,19884,20091
Shelter,10080,10491,10742,11128,11895,11747
Owned_dwellings,6108,6149,6210,6295,6947,6678
Mortgage_interest_and_charges,3078,2953,2859,2889,3265,2775
Property_taxes,1848,1903,1913,1969,2065,2200
Housing_maintenance_repairs_insurance_other_expenses,1182,1293,1438,1437,1616,1703
Rented_dwellings,3324,3631,3802,4035,4167,4249
Other_lodging,649,710,730,798,782,821
Utilities_fuels_and_public_services,3737,3921,3885,3884,3836,4049
Natural_gas,393,439,421,355,381,410
Electricity,1422,1484,1460,1444,1420,1496
Fuel_oil_and_other_fuels,142,152,116,85,97,121
Telephone_services,1271,1315,1347,1431,1356,1407
Residential_phone_service_VOIP_and_phone_cards,358,353,324,307,238,220
Cellular_phone_service,913,963,1023,1124,1118,1188
Water_and_other_public_services,509,530,540,569,583,614
Household_operations,1144,1174,1309,1384,1412,1522
Personal_services,368,366,427,457,439,472
Other_household_expenses,776,808,882,927,973,1050
Housekeeping_supplies,645,632,655,660,755,747
Laundry_and_cleaning_supplies,154,148,156,160,177,184
Other_household_products,350,354,368,363,428,431
Postage_and_stationery,140,131,131,137,150,132
Household_furnishings_and_equipment,1542,1581,1818,1829,1987,2025
Household_textiles,97,96,115,98,114,111
Furniture,382,387,502,460,515,518
Floor_coverings,20,18,18,20,30,25
Major_appliances,214,233,268,283,280,304
Small_appliances_miscellaneous_housewares,100,106,118,123,131,118
Miscellaneous_household_equipment,727,740,798,845,916,948
Apparel_and_services,1604,1786,1846,1803,1833,1866
Apparel_men_and_boys,374,430,422,427,442,420
Apparel_men_16_and_over,304,326,331,323,342,337
Apparel_boys_2_to_15,70,104,91,104,100,83
Apparel_women_and_girls,636,656,697,665,694,755
Apparel_women_16_and_over,527,551,596,571,580,638
Apparel_girls_2_to_15,109,105,101,94,114,117
Apparel_children_under_2,75,76,83,66,77,78
Footwear,307,367,354,388,379,392
Other_apparel_products_and_services,211,256,291,257,241,222
Transportation,9004,9073,9503,9049,9576,9761
Vehicle_purchases_net_outlay,3271,3301,3997,3634,4054,3975
Cars_and_trucks_new,1563,1562,1956,1650,1900,1825
Cars_and_trucks_used,1669,1689,1982,1919,2101,2084
Other_vehicles,39,50,59,66,53,66
Gasoline_other_fuels_and_motor_oil,2611,2468,2090,1909,1968,2109
Other_vehicle_expenses,2584,2723,2756,2884,2842,2859
Vehicle_finance_charges,204,208,216,226,220,222
Vehicle_maintenance_and_repairs,835,836,837,849,954,890
Vehicle_insurance,1013,1112,1079,1149,967,976
Vehicle_rental_leases_licenses_and_other_charges,533,567,624,660,700,772
Public_and_other_transportation,537,581,661,623,712,818
Healthcare,3631,4290,4342,4612,4928,4968
Health_insurance,2229,2868,2977,3160,3414,3405
Medical_services,796,790,791,838,872,909
Medical_drugs,470,486,425,463,486,483
Medical_supplies,135,146,149,151,156,172
Entertainment,2482,2728,2842,2913,3203,3226
Entertainment_fees_and_admissions,569,636,652,681,750,766
Entertainment_audio_and_visual_equipment_and_services,964,1051,1084,1085,985,1030
Pets_toys_hobbies_and_playground_equipment,596,634,653,740,869,816
Pets,460,507,528,583,710,662
Toys_hobbies_and_playground_equipment,136,127,125,157,159,154
Other_entertainment_supplies_equipment_and_services,353,407,453,406,599,614
Personal_care_products_and_services,608,645,683,707,762,768
Reading,102,103,114,118,110,108
Education,1138,1236,1315,1329,1491,1407
Tobacco_products_and_smoking_supplies,330,319,349,337,332,347
Miscellaneous,645,782,871,959,1010,993
Cash_contributions,1834,1788,1819,2081,1873,1888
Personal_insurance_and_pensions,5528,5726,6349,6831,6771,7296
Life_and_other_personal_insurance,319,327,333,322,418,465
Pensions_and_Social_Security,5209,5399,6016,6509,6353,6831
